project_title,short_description,long_description,Crisis finance determination,Crisis finance confidence ML
FAO 2018-2021 - FAO 2018-2020 ekon,FAO 2018-2021 - FAO 2018-2020 EKON,"FAO's overarching goals are: the eradication of hunger, food insecurity and malnutrition, the elimination of poverty and the driving forward of economic and social progress for all, as well as the sustainable management and utilisation of natural resources, including land, water, air, climate and genetic resources for the benefit of future generations. Based on these, FAO has formulated five strategic objectives: 1. help eliminate hunger, food insecurity and malnutrition, 2. make agriculture, forestry and fisheries more productive and sustainable, 3. reduce rural poverty, 4. enable inclusive and efficient agricultural and food systems, 5. increase the resilience of livelihoods to threats and crises. In addition, FAO has formulated a sixth horizontal objective focusing on technical quality, statistics and cross-cutting themes (climate change, gender, governance and nutrition). Sweden's part of the assessed contributions is approximately SEK 40 million per year. The total FAO budget for 2017â2018 is USD 2.6 billion, and roughly 60 per cent is mobilised through voluntary contributions and 40 per cent comes from assessed contributions paid by members. The support from Sida to FAO programmes varies but is approximately SEK 150 million per year. The support presented here supports FAO in its implementation of its agreed Medium Term Plan 2018-21 and Programme of Work and Budget, and consists of four parts: Flexible multi-partner mechanism (FMM), max 37 Millions SEK per year, Small-scale fisheries (SSF), max 20 Millions SEK per year, Boosting decent jobs for youth, max 12 Millions SEK per year, International Treaty on Plant Genetic Resources for Food and Agriculture (ITPGRFA), max 1 Millions SEK per year.",Review,0.0314469449222088
FAO 2018-2021 - FAO 2018-2020 ekon,FAO 2018-2021 - FAO 2018-2020 EKON,"FAO's overarching goals are: the eradication of hunger, food insecurity and malnutrition, the elimination of poverty and the driving forward of economic and social progress for all, as well as the sustainable management and utilisation of natural resources, including land, water, air, climate and genetic resources for the benefit of future generations. Based on these, FAO has formulated five strategic objectives: 1. help eliminate hunger, food insecurity and malnutrition, 2. make agriculture, forestry and fisheries more productive and sustainable, 3. reduce rural poverty, 4. enable inclusive and efficient agricultural and food systems, 5. increase the resilience of livelihoods to threats and crises. In addition, FAO has formulated a sixth horizontal objective focusing on technical quality, statistics and cross-cutting themes (climate change, gender, governance and nutrition). Sweden's part of the assessed contributions is approximately SEK 40 million per year. The total FAO budget for 2017â2018 is USD 2.6 billion, and roughly 60 per cent is mobilised through voluntary contributions and 40 per cent comes from assessed contributions paid by members. The support from Sida to FAO programmes varies but is approximately SEK 150 million per year. The support presented here supports FAO in its implementation of its agreed Medium Term Plan 2018-21 and Programme of Work and Budget, and consists of four parts: Flexible multi-partner mechanism (FMM), max 37 Millions SEK per year, Small-scale fisheries (SSF), max 20 Millions SEK per year, Boosting decent jobs for youth, max 12 Millions SEK per year, International Treaty on Plant Genetic Resources for Food and Agriculture (ITPGRFA), max 1 Millions SEK per year.",Review,0.0314469449222088
FAO 2018-2021 - FAO 2018-2020 ekon,FAO 2018-2021 - FAO 2018-2020 EKON,"FAO's overarching goals are: the eradication of hunger, food insecurity and malnutrition, the elimination of poverty and the driving forward of economic and social progress for all, as well as the sustainable management and utilisation of natural resources, including land, water, air, climate and genetic resources for the benefit of future generations. Based on these, FAO has formulated five strategic objectives: 1. help eliminate hunger, food insecurity and malnutrition, 2. make agriculture, forestry and fisheries more productive and sustainable, 3. reduce rural poverty, 4. enable inclusive and efficient agricultural and food systems, 5. increase the resilience of livelihoods to threats and crises. In addition, FAO has formulated a sixth horizontal objective focusing on technical quality, statistics and cross-cutting themes (climate change, gender, governance and nutrition). Sweden's part of the assessed contributions is approximately SEK 40 million per year. The total FAO budget for 2017â2018 is USD 2.6 billion, and roughly 60 per cent is mobilised through voluntary contributions and 40 per cent comes from assessed contributions paid by members. The support from Sida to FAO programmes varies but is approximately SEK 150 million per year. The support presented here supports FAO in its implementation of its agreed Medium Term Plan 2018-21 and Programme of Work and Budget, and consists of four parts: Flexible multi-partner mechanism (FMM), max 37 Millions SEK per year, Small-scale fisheries (SSF), max 20 Millions SEK per year, Boosting decent jobs for youth, max 12 Millions SEK per year, International Treaty on Plant Genetic Resources for Food and Agriculture (ITPGRFA), max 1 Millions SEK per year.",Review,0.0314469449222088
FAO 2018-2021 - FAO 2018-2020 ekon,FAO 2018-2021 - FAO 2018-2020 EKON,"FAO's overarching goals are: the eradication of hunger, food insecurity and malnutrition, the elimination of poverty and the driving forward of economic and social progress for all, as well as the sustainable management and utilisation of natural resources, including land, water, air, climate and genetic resources for the benefit of future generations. Based on these, FAO has formulated five strategic objectives: 1. help eliminate hunger, food insecurity and malnutrition, 2. make agriculture, forestry and fisheries more productive and sustainable, 3. reduce rural poverty, 4. enable inclusive and efficient agricultural and food systems, 5. increase the resilience of livelihoods to threats and crises. In addition, FAO has formulated a sixth horizontal objective focusing on technical quality, statistics and cross-cutting themes (climate change, gender, governance and nutrition). Sweden's part of the assessed contributions is approximately SEK 40 million per year. The total FAO budget for 2017â2018 is USD 2.6 billion, and roughly 60 per cent is mobilised through voluntary contributions and 40 per cent comes from assessed contributions paid by members. The support from Sida to FAO programmes varies but is approximately SEK 150 million per year. The support presented here supports FAO in its implementation of its agreed Medium Term Plan 2018-21 and Programme of Work and Budget, and consists of four parts: Flexible multi-partner mechanism (FMM), max 37 Millions SEK per year, Small-scale fisheries (SSF), max 20 Millions SEK per year, Boosting decent jobs for youth, max 12 Millions SEK per year, International Treaty on Plant Genetic Resources for Food and Agriculture (ITPGRFA), max 1 Millions SEK per year.",Review,0.0314469449222088
FAO 2018-2021 - FAO 2018-2020 ekon,FAO 2018-2021 - FAO 2018-2020 EKON,"FAO's overarching goals are: the eradication of hunger, food insecurity and malnutrition, the elimination of poverty and the driving forward of economic and social progress for all, as well as the sustainable management and utilisation of natural resources, including land, water, air, climate and genetic resources for the benefit of future generations. Based on these, FAO has formulated five strategic objectives: 1. help eliminate hunger, food insecurity and malnutrition, 2. make agriculture, forestry and fisheries more productive and sustainable, 3. reduce rural poverty, 4. enable inclusive and efficient agricultural and food systems, 5. increase the resilience of livelihoods to threats and crises. In addition, FAO has formulated a sixth horizontal objective focusing on technical quality, statistics and cross-cutting themes (climate change, gender, governance and nutrition). Sweden's part of the assessed contributions is approximately SEK 40 million per year. The total FAO budget for 2017â2018 is USD 2.6 billion, and roughly 60 per cent is mobilised through voluntary contributions and 40 per cent comes from assessed contributions paid by members. The support from Sida to FAO programmes varies but is approximately SEK 150 million per year. The support presented here supports FAO in its implementation of its agreed Medium Term Plan 2018-21 and Programme of Work and Budget, and consists of four parts: Flexible multi-partner mechanism (FMM), max 37 Millions SEK per year, Small-scale fisheries (SSF), max 20 Millions SEK per year, Boosting decent jobs for youth, max 12 Millions SEK per year, International Treaty on Plant Genetic Resources for Food and Agriculture (ITPGRFA), max 1 Millions SEK per year.",Review,0.0314469449222088
FAO 2018-2021 - FAO 2018-2020 ekon,FAO 2018-2021 - FAO 2018-2020 EKON,"FAO's overarching goals are: the eradication of hunger, food insecurity and malnutrition, the elimination of poverty and the driving forward of economic and social progress for all, as well as the sustainable management and utilisation of natural resources, including land, water, air, climate and genetic resources for the benefit of future generations. Based on these, FAO has formulated five strategic objectives: 1. help eliminate hunger, food insecurity and malnutrition, 2. make agriculture, forestry and fisheries more productive and sustainable, 3. reduce rural poverty, 4. enable inclusive and efficient agricultural and food systems, 5. increase the resilience of livelihoods to threats and crises. In addition, FAO has formulated a sixth horizontal objective focusing on technical quality, statistics and cross-cutting themes (climate change, gender, governance and nutrition). Sweden's part of the assessed contributions is approximately SEK 40 million per year. The total FAO budget for 2017â2018 is USD 2.6 billion, and roughly 60 per cent is mobilised through voluntary contributions and 40 per cent comes from assessed contributions paid by members. The support from Sida to FAO programmes varies but is approximately SEK 150 million per year. The support presented here supports FAO in its implementation of its agreed Medium Term Plan 2018-21 and Programme of Work and Budget, and consists of four parts: Flexible multi-partner mechanism (FMM), max 37 Millions SEK per year, Small-scale fisheries (SSF), max 20 Millions SEK per year, Boosting decent jobs for youth, max 12 Millions SEK per year, International Treaty on Plant Genetic Resources for Food and Agriculture (ITPGRFA), max 1 Millions SEK per year.",Review,0.0314469449222088
FAO 2018-2021 - FAO 2018-2020 ekon,FAO 2018-2021 - FAO 2018-2020 EKON,"FAO's overarching goals are: the eradication of hunger, food insecurity and malnutrition, the elimination of poverty and the driving forward of economic and social progress for all, as well as the sustainable management and utilisation of natural resources, including land, water, air, climate and genetic resources for the benefit of future generations. Based on these, FAO has formulated five strategic objectives: 1. help eliminate hunger, food insecurity and malnutrition, 2. make agriculture, forestry and fisheries more productive and sustainable, 3. reduce rural poverty, 4. enable inclusive and efficient agricultural and food systems, 5. increase the resilience of livelihoods to threats and crises. In addition, FAO has formulated a sixth horizontal objective focusing on technical quality, statistics and cross-cutting themes (climate change, gender, governance and nutrition). Sweden's part of the assessed contributions is approximately SEK 40 million per year. The total FAO budget for 2017â2018 is USD 2.6 billion, and roughly 60 per cent is mobilised through voluntary contributions and 40 per cent comes from assessed contributions paid by members. The support from Sida to FAO programmes varies but is approximately SEK 150 million per year. The support presented here supports FAO in its implementation of its agreed Medium Term Plan 2018-21 and Programme of Work and Budget, and consists of four parts: Flexible multi-partner mechanism (FMM), max 37 Millions SEK per year, Small-scale fisheries (SSF), max 20 Millions SEK per year, Boosting decent jobs for youth, max 12 Millions SEK per year, International Treaty on Plant Genetic Resources for Food and Agriculture (ITPGRFA), max 1 Millions SEK per year.",Review,0.0314469449222088
FAO 2018-2021 - FAO 2018-2020 ekon,FAO 2018-2021 - FAO 2018-2020 EKON,"FAO's overarching goals are: the eradication of hunger, food insecurity and malnutrition, the elimination of poverty and the driving forward of economic and social progress for all, as well as the sustainable management and utilisation of natural resources, including land, water, air, climate and genetic resources for the benefit of future generations. Based on these, FAO has formulated five strategic objectives: 1. help eliminate hunger, food insecurity and malnutrition, 2. make agriculture, forestry and fisheries more productive and sustainable, 3. reduce rural poverty, 4. enable inclusive and efficient agricultural and food systems, 5. increase the resilience of livelihoods to threats and crises. In addition, FAO has formulated a sixth horizontal objective focusing on technical quality, statistics and cross-cutting themes (climate change, gender, governance and nutrition). Sweden's part of the assessed contributions is approximately SEK 40 million per year. The total FAO budget for 2017â2018 is USD 2.6 billion, and roughly 60 per cent is mobilised through voluntary contributions and 40 per cent comes from assessed contributions paid by members. The support from Sida to FAO programmes varies but is approximately SEK 150 million per year. The support presented here supports FAO in its implementation of its agreed Medium Term Plan 2018-21 and Programme of Work and Budget, and consists of four parts: Flexible multi-partner mechanism (FMM), max 37 Millions SEK per year, Small-scale fisheries (SSF), max 20 Millions SEK per year, Boosting decent jobs for youth, max 12 Millions SEK per year, International Treaty on Plant Genetic Resources for Food and Agriculture (ITPGRFA), max 1 Millions SEK per year.",Review,0.0314469449222088
GUARANTEE QUALITY SECONDARY HEALTHCARE FOR THE REFUGEE POPULATION OF PALESTINE IN THE WEST BANK THROUGH HOSPITAL EQUIPMENT,GUARANTEE QUALITY SECONDARY HEALTHCARE FOR THE REFUGEE POPULATION OF PALESTINE IN THE WEST BANK THROUGH HOSPITAL EQUIPMENT,TÃ­tulo completo del proyecto: GARANTIZAR LA ATENCIÃN SANTIARIA SECUNDARIA DE CALIDAD A LA POBLACIÃN REFUGIADA DE PALESTINA EN CISJORDANIA MEDIANTE EL EQUIPAMIENTO DEL HOSPITAL DE QALQILIA. :: promover el derecho a la salud de las personas refugiadas de Palestina en Cisjordania.,Review,0.0314128361642361
International Crisis Group (Washington Office),INTERNATIONAL CRISIS GROUP (WASHINGTON OFFICE),"Programme and theme: Democratic Practice. Description: to provide general support with a hybrid component, of which $2,000,000 is outright and $1,500,000 is contingent upon a matching criteria of new donors, increased donors, and lapsed donors",Yes,0.0313934050500393
Covid-19 support to Ethiopia General Education Quality Improvement Program for Equity (GEQUIP-E) Additional Financing for Refugees integration,COVID-19 SUPPORT TO ETHIOPIA GENERAL EDUCATION QUALITY IMPROVEMENT PROGRAM FOR EQUITY (GEQUIP-E) ADDITIONAL FINANCING FOR REFUGEES INTEGRATION,"The key objective of the programme is the inclusion of refugees in the national education system. The programme will introduce updated policy and institutional frameworks for effective inclusion of refugees into national education service provision, harmonise existing government systems to deliver quality education to refugee communities, and promote greater learning, gender equity, inclusion and social cohesion.",Review,0.031370148062706
FIND - Foundation for Innovative New Diagnostics,FIND - FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS,"FIND, is a health non-profit organization. This global alliance for diagnostics, seeks to ensure equitable access to reliable diagnosis around the world. FIND connects countries and communities, funders, decisionmakers, healthcare providers and developers",Yes,0.0312839075922966
"Business development for the strengthening of economic initiatives of producer families that participate in agro-ecological processes, community management and value chains in order to improve the quality of life of rural families","BUSINESS DEVELOPMENT FOR THE STRENGTHENING OF ECONOMIC INITIATIVES OF PRODUCER FAMILIES THAT PARTICIPATE IN AGRO-ECOLOGICAL PROCESSES, COMMUNITY MANAG",Small-scale farmers in southwestern Nicaragua struggle to sustain agricultural production and maintain their livelihoods due to water shortages caused by prolonged droughts and an upsurge in extreme weather events in the region. At the IAF we support community-led solutions that improve food security promote sustainable agriculture and expand economic opportunity in Nicaragua. Our grantee partner AsociaciÃÂ³n Nochari (Nochari) works with producers to train them in organic production techniques improve their access to native seeds like yucca and guineo (bananas) and sell their crops collectively in local and regional markets. Nochari is also collaborating closely with communities to address water shortages by building and repairing wells and evaluating low-cost irrigation systems.,Review,0.0312805101275444
Relance post -sÃ©isme 2021:  agriculture rÃ©siliente et alimentation scolaire durable dans le DÃ©partement de la Grande Anse,RELANCE POST -SÃISME 2021:  AGRICULTURE RÃSILIENTE ET ALIMENTATION SCOLAIRE DURABLE DANS LE DÃPARTEMENT DE LA GRANDE ANSE,"L'objectif de cette action est par consÃ©quent d'assurer 1) un soutien rapide au relÃ¨vement de la production agricole, en complÃ©mentant les actions d'urgence en appui Ã  la saison agricole d'hiver (octobre-novembre 2021) dans le dÃ©partement de la Grande Anse (e.g. projet SFERA-CRIA menÃ© par la FAO en soutien Ã  42 000 mÃ©nages agricoles touchÃ©s)   et 2) une rÃ©ponse structurante Ã  plus long terme en soutien Ã  la diversification durable des activitÃ©s productives agricoles, afin d'encourager la consomm",Review,0.0305243600159884
Relance post -sÃ©isme 2021:  agriculture rÃ©siliente et alimentation scolaire durable dans le DÃ©partement de la Grande Anse,RELANCE POST -SÃISME 2021:  AGRICULTURE RÃSILIENTE ET ALIMENTATION SCOLAIRE DURABLE DANS LE DÃPARTEMENT DE LA GRANDE ANSE,"L'objectif de cette action est par consÃ©quent d'assurer 1) un soutien rapide au relÃ¨vement de la production agricole, en complÃ©mentant les actions d'urgence en appui Ã  la saison agricole d'hiver (octobre-novembre 2021) dans le dÃ©partement de la Grande Anse (e.g. projet SFERA-CRIA menÃ© par la FAO en soutien Ã  42 000 mÃ©nages agricoles touchÃ©s)   et 2) une rÃ©ponse structurante Ã  plus long terme en soutien Ã  la diversification durable des activitÃ©s productives agricoles, afin d'encourager la consomm",Review,0.0305243600159884
Enhanced HIPC Debt Relief Initiative (Portion III),ENHANCED HIPC DEBT RELIEF INITIATIVE (PORTION III),Enhanced HIPC Debt Relief Initiative (Portion III),Review,0.0305103771388531
Core-Support KRDF,CORE-SUPPORT KRDF,"Kakheti Regional Development Foundation, KRDF has presented a proposal for core support for implementing the organisation s strategy for 2020-2024, during the period June 2020- December 2022.The proposed contribution is a continuation of the pre-core support which has been implemented during the period from August 2019 until end of March 2020. In the pre-core support external support to KRDF to evaluate their previous strategy and to develop a new strategy for 2020-2024 was included. The Embassy also procured an internal Control audit of KRDF during the pre-core support. KRDF s management response and action plan to the audit has been approved by the Embassy. The implementation of the action plan is included in the proposed core support.KRDF is a Georgian civil Society organisation which is founded in, and implements most of their work in Kakheti, and in specific in the Pankisi-valley in the Eastern parts of Georgia. The Pankisi-valley is inhabited by the ethnic minority Kist s and refugees from Chechnya and is overall an isolated region with many challenges with regards to both poverty and human rights.  KRDF s Strategy for 2020-2024 constitutes of four Strategic Objectives:1)  Improve skills and capacities of vulnerable groups for better opportunities 2) Improving economic and environmental conditions for vulnerable groups in Kakheti Region3) Support vulnerable groups to exercise their human rights 4) Improve KRDF's services, systems and structures, accountability and transparencyThe budget proposed by KRDF is after being rounded upwards to 6 200 000 SEK and constitutes of as direct costs for the implementation of the strategy as well as costs for staff and administration.",Review,0.0304734203964472
AmÃ©liorer l'accÃ¨s aux Soins Palliatifs PÃ©diatriques,AMÃLIORER L'ACCÃS AUX SOINS PALLIATIFS PÃDIATRIQUES,"MÃ©decins du Monde a pour vocation Ã  partir de sa pratique mÃ©dicale et en toute indÃ©pendance, de soigner les populations les plus vulnÃ©rables, dans des situations de crises et d'exclusion partout dans le Monde / Permettre l'amÃ©lioration de l'accÃ¨s aux soins palliatifs et la gestion de la douleur pour les enfants atteints de maladies chroniques et incurables / Directs : Enfants pris en charge et les professionnels de la santÃ© formÃ©s aux soins palliatifs , Indirects : les familles des patients, les soignants non-formÃ©s travaillant avec les Ã©quipes de soins palliatifs.",Review,0.0304307788610458
Associate FARA #13 with Jordan Water Company - Miyahuna,ASSOCIATE FARA #13 WITH JORDAN WATER COMPANY - MIYAHUNA,"The purpose of this activity is to improve the quality and efficiency of water delivery for residents of Amman, including Syrian refugees, by improving the Jordan Water Company's (Miyahuna) performance in managing Non-Revenue Water (NRW) Projects. The investment will begin in Amman because the completion of the billion-dollar Disi water supply system from southern Jordan will result in a substantial increase in NRW losses in Amman and requires a sustained program to reduce these losses. The activity will later be expanded to Aqaba and Zarqa. Through the use of a Fixed Amount Reimbursment Agreement (FARA) mechanism with Miyahuna, the NRW Activity aims to assist Miyahuna in decreasing NRW that is lost through leakage, illegal use, or inaccurate billing in selected zones of Amman through detection, repair, and remediation projects, and collecting the baseline data for possible future public-private partnerships in continued repair, operations and maintenance of the system. These investments will have an immediate impact on improving water delivery and increase cost recovery for the utility.",Review,0.0303488615900278
Disability Inclusion Capacity Building Programme (DRF),DISABILITY INCLUSION CAPACITY BUILDING PROGRAMME (DRF),"To promote the rights of people with disabilities in line with the United Nations Convention on the Rights of Persons with Disabilities by supporting the delivery of small grants, training and partnership building between UN agencies, governments, private sector and disabled persons organisations.",Review,0.0303400065749884
Disability Inclusion Capacity Building Programme (DRF),DISABILITY INCLUSION CAPACITY BUILDING PROGRAMME (DRF),"To promote the rights of people with disabilities in line with the United Nations Convention on the Rights of Persons with Disabilities by supporting the delivery of small grants, training and partnership building between UN agencies, governments, private sector and disabled persons organisations.",Review,0.0303400065749884
Associate FARA #10 with Jordan Water Company - Miyahuna,ASSOCIATE FARA #10 WITH JORDAN WATER COMPANY - MIYAHUNA,"The purpose of this activity is to improve the quality and efficiency of water delivery for residents of Amman, including Syrian refugees, by improving the Jordan Water Company's (Miyahuna) performance in managing Non-Revenue Water (NRW) Projects. The investment will begin in Amman because the completion of the billion-dollar Disi water supply system from southern Jordan will result in a substantial increase in NRW losses in Amman and requires a sustained program to reduce these losses. The activity will later be expanded to Aqaba and Zarqa. Through the use of a Fixed Amount Reimbursment Agreement (FARA) mechanism with Miyahuna, the NRW Activity aims to assist Miyahuna in decreasing NRW that is lost through leakage, illegal use, or inaccurate billing in selected zones of Amman through detection, repair, and remediation projects, and collecting the baseline data for possible future public-private partnerships in continued repair, operations and maintenance of the system. These investments will have an immediate impact on improving water delivery and increase cost recovery for the utility.",Review,0.0303069818764925
Associate FARA #6 with Jordan Water Company - Miyahuna,ASSOCIATE FARA #6 WITH JORDAN WATER COMPANY - MIYAHUNA,"The purpose of this activity is to improve the quality and efficiency of water delivery for residents of Amman, including Syrian refugees, by improving the Jordan Water Company's (Miyahuna) performance in managing Non-Revenue Water (NRW) Projects. The investment will begin in Amman because the completion of the billion-dollar Disi water supply system from southern Jordan will result in a substantial increase in NRW losses in Amman and requires a sustained program to reduce these losses. The activity will later be expanded to Aqaba and Zarqa. Through the use of a Fixed Amount Reimbursment Agreement (FARA) mechanism with Miyahuna, the NRW Activity aims to assist Miyahuna in decreasing NRW that is lost through leakage, illegal use, or inaccurate billing in selected zones of Amman through detection, repair, and remediation projects, and collecting the baseline data for possible future public-private partnerships in continued repair, operations and maintenance of the system. These investments will have an immediate impact on improving water delivery and increase cost recovery for the utility.",Review,0.0303059592843056
Salesian Sisters,SALESIAN SISTERS,"A chance for girls in South Sudan: Primary education and Basic Life Skills for Youth IDPs of Gumbo-Sirkat, Juba",Review,0.0297283809632063
Salesian Sisters,SALESIAN SISTERS,"A chance for girls in South Sudan: Primary education and Basic Life Skills for Youth IDPs of Gumbo-Sirkat, Juba",Review,0.0297283809632063
"Cultivating Integral Indigenous MILPAS, by the ancestral rescue LENCA.","CULTIVATING INTEGRAL INDIGENOUS MILPAS, BY THE ANCESTRAL RESCUE LENCA.","Repeated droughts and conflicts over land in the La Paz region of Honduras have threatened the livelihoods and safety of Indigenous Lenca communities. At the IAF, we support community-led approaches to strengthen civic engagement, increase inclusion of historically marginalized groups, and reduce violence. Our grantee partner the Movimiento Independiente IndÃÂ­gena Lenca de La Paz, Honduras (MILPAH) will improve the living conditions of Lenca families and communities by promoting sustainable agriculture, training young leaders, and strengthening Indigenous community councils. This grant is part of the IAF's efforts to address the root causes of irregular migration in Central America.",Review,0.0296032167971134
"",Semi-aggregates,Semi-aggregates,Yes,0.029438927769661
"Protecting and Improving Health Globally:Building and Strengthening Public Health Impact, Systems,Capacity and Security","PROTECTING AND IMPROVING HEALTH GLOBALLY:BUILDING AND STRENGTHENING PUBLIC HEALTH IMPACT, SYSTEMS,CAPACITY AND SECURITY","Enhancing Bio risk mitigation awareness in public health community and creating laboratory networks for enhanced diagnostic capabilities to deal with surveillance and outbreaks of VHF and RI diseases. U.S. Centers for Disease Control and Prevention (CDC) global health efforts are to assist Ministries of Health and other international partners to plan, manage effectively, and evaluate public health programs, achieve U.S. Government program and international organization goals to improve health, including disease eradication and elimination targets, expand CDC's global health programs that focus on the leading causes of worldwide mortality, morbidity and disability, including chronic disease and injuries, generate and apply new knowledge to achieve health goals, and, strengthen health systems and their impact.",Review,0.0291649512946606
Bhola Irrigation Project,BHOLA IRRIGATION PROJECT,"Bhola Irrigation Project, loan for Agriculture, natural resources and rural development - Irrigation, Drainage, and Flood Protection",Review,0.0291070304811001
Project TORII- strengthening international capabilities against transnational financial crimes and associated illicit flow of criminal assets,PROJECT TORII- STRENGTHENING INTERNATIONAL CAPABILITIES AGAINST TRANSNATIONAL FINANCIAL CRIMES AND ASSOCIATED ILLICIT FLOW OF CRIMINAL ASSETS,Project TORII- strengthening international capabilities against transnational financial crimes and associated illicit flow of criminal assets,Yes,0.0286068692803383
Global Detention Project,GLOBAL DETENTION PROJECT,"To ensure that asylum seekers, undocumented migrants and refugees are treated with dignity and respect when in official custody. The Global Detention Project works to: ensure transparency in the treatment of detainees, encourage adherence to human rights norms, reinforce advocacy aimed at reforming detention systems, and promote scholarship and comparative analysis of immigration control regimes.",Review,0.0283498521894217
GAVI workplan,GAVI WORKPLAN,Foundational support,Yes,0.0283293165266514
Fournitures d'Ã©quipements (Lot 3 : Mobilier de bureau) aux institutions en charge de la gestion du PASANAD.,FOURNITURES D'ÃQUIPEMENTS (LOT 3 : MOBILIER DE BUREAU) AUX INSTITUTIONS EN CHARGE DE LA GESTION DU PASANAD.,"Fournitures de mobilier de bureau aux structures suivantes: SP/CPSA, SecrÃ©tariat Permanent de la Coordination des Politiques Sectorielles Agricoles, au SE/CNSA, SecrÃ©tariat ExÃ©cutif du Conseil National de SÃ©curitÃ© Alimentaire, et SP/CVEL, SecrÃ©tariat Permanent en charge de la gestion des Crises et VulnÃ©rabilitÃ©s en Ãlevage.",Review,0.0282937325537205
The Project for Strengthening Immunization Programs in Pacific Island Countries,THE PROJECT FOR STRENGTHENING IMMUNIZATION PROGRAMS IN PACIFIC ISLAND COUNTRIES,supporting the health system capacities at national and provincial levels in five countries to be strengthened to deliver quality immunization services,Yes,0.0280637834221125
The Project for Strengthening Immunization Programs in Pacific Island Countries,THE PROJECT FOR STRENGTHENING IMMUNIZATION PROGRAMS IN PACIFIC ISLAND COUNTRIES,supporting the health system capacities at national and provincial levels in five countries to be strengthened to deliver quality immunization services,Yes,0.0280637834221125
Global Campaign for Education 2020 - ISK Global Campaign for Education 2020,GLOBAL CAMPAIGN FOR EDUCATION 2020 - ISK GLOBAL CAMPAIGN FOR EDUCATION 2020,"The organisation Global Campaign for Education (GCE) is a civil society movement comprised of over 120 national coalitions and international and regional organisations that promotes and defends education as a basic human right. GCE members are based in almost 100 countries around the world, a majority in low and lower-middle income countries.According to their vision, GCE will strengthen capacity to act at the global, regional and national levels to influence governments and the international community to guarantee free, inclusive quality public education and lifelong learning for all. The mission of GCE is to make sure that governments act to deliver the right of everyone to a free, quality, public education.The Strategic Plan for 2019-2022 has four strategic focus areas:1. Equality and non-discrimination. GCE aims to support to local and regional coalitions to overcome all forms of inequality, exclusion and discrimination in education.2. Transformative education. GCE aims to advocate and campaign at all levels for education being considered a driver of social justice, sustainable development, individual and collective freedom and joy of learning together.3. Education in emergencies. GCE aims to support access to quality education opportunities to all people affected by emergencies and protracted crises.4. Education financing. GCE aims to campaign for publicly-funded equitable and, inclusive free quality education, including the need to improve domestic and international financing.Sida s support to Global Campaign for Education amounts to totally 24 million SEK during the period 2020-2022.",Review,0.0278346780687571
RenovaciÃ³n de LÃ­nea de CrÃ©dito Contingente de LÃ­quidez,RENEWAL OF CONTINGENT CREDIT FACILITY FOR LIQUIDITY,RenovaciÃ³n de LÃ­nea de CrÃ©dito Contingente de LÃ­quidez,Review,0.0277827028185129
RenovaciÃ³n de LÃ­nea de CrÃ©dito Contingente de LÃ­quidez,RENEWAL OF CONTINGENT CREDIT FACILITY FOR LIQUIDITY,RenovaciÃ³n de LÃ­nea de CrÃ©dito Contingente de LÃ­quidez,Review,0.0277827028185129
Niger 2021 SAN DNPGCA contingency plans,NIGER 2021 SAN DNPGCA CONTINGENCY PLANS,FinanciaciÃ³n Planes de contingencia del DNPGCA en 2022 a travÃ©s de del Fondo ComÃºn de Donantes,Review,0.0274761058390141
Advocating Economic Security for Palestinians in Lebanon,ADVOCATING ECONOMIC SECURITY FOR PALESTINIANS IN LEBANON,"The project aims at contributing to improved economic security of Palestinians in Lebanon by means of advocacy for improved labor rights. As a pilot, the project will target the Syndicate of Nurses and try to facilitate the registration of Palestinian nurses as well as the process of obtaining work permits. Advocacy will be evidence-based, build on expertise and research. A bill of rights examines the legality of the Palestinian Refugees labor rights will be drafted and submit to several policy makers paralleled with a media campaign on the labor rights of Palestinian Nurses in Lebanon.",Review,0.027386412024498
CV19FILETSSOCIAUX,CV19 FILETS SOCIAUX,"Accompagner le Soudan dans l'expansion et l'amÃ©lioration de son mÃ©canisme de transferts sociaux afin d'attÃ©nuer l'impact des rÃ©formes Ã©conomiques en cours, du COVID-19 et des crises futures.Appui au Fonds multi-bailleurs pour la Transition Ã©conomique et dÃ©mocratique au SOUDAN et la rÃ©ponse au COVID 19  et en particulier la composante ayant trait Ã  la mise en place de filets sociaux et sa logistique affÃ©rente -CV19FILETSSOCIAUX",Review,0.0273715425282717
CV19FILETSSOCIAUX,CV19 FILETS SOCIAUX,"Accompagner le Soudan dans l'expansion et l'amÃ©lioration de son mÃ©canisme de transferts sociaux afin d'attÃ©nuer l'impact des rÃ©formes Ã©conomiques en cours, du COVID-19 et des crises futures.Appui au Fonds multi-bailleurs pour la Transition Ã©conomique et dÃ©mocratique au SOUDAN et la rÃ©ponse au COVID 19  et en particulier la composante ayant trait Ã  la mise en place de filets sociaux et sa logistique affÃ©rente -CV19FILETSSOCIAUX",Review,0.0273715425282717
